PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,TEAM,2018-08-16,78.0,78.5,77.41999799999999,78.099998,78.099998,466200,2018-08-16,16,0.0,3674.442672990309,3000.0,1.224814224330103
P1,TEAM,2018-08-17,78.0,78.334999,77.019997,78.019997,78.019997,714200,2018-08-17,17,0.0,3670.678792122068,3000.0,1.2235595973740228
P1,TEAM,2018-08-20,77.629997,78.68,76.790001,78.25,78.25,1063300,2018-08-20,20,0.0,3681.4999554992523,3000.0,1.2271666518330842
P1,TEAM,2018-08-21,78.050003,80.68,78.050003,79.260002,79.260002,1012000,2018-08-21,21,0.0,3729.018451576622,3000.0,1.2430061505255405
P1,TEAM,2018-08-22,79.25,80.5,78.699997,80.059998,80.059998,673200,2018-08-22,22,0.0,3766.6566015881176,3000.0,1.2555522005293724
P1,TEAM,2018-08-23,79.519997,82.980003,79.25,82.629997,82.629997,1925600,2018-08-23,23,0.0,3887.5697160179343,3000.0,1.295856572005978
P1,TEAM,2018-08-24,82.519997,86.129997,82.519997,86.110001,86.110001,2064100,2018-08-24,24,0.0,4051.2966753934893,3000.0,1.3504322251311631
P1,TEAM,2018-08-27,86.029999,87.480003,85.059998,86.540001,86.540001,2420700,2018-08-27,27,0.0,4071.527282177703,3000.0,1.357175760725901
P1,TEAM,2018-08-28,86.760002,88.050003,86.540001,87.660004,87.660004,1796000,2018-08-28,28,0.0,4124.2210968059335,3000.0,1.3747403656019779
P1,TEAM,2018-08-29,87.849998,89.760002,87.849998,89.470001,89.470001,1647700,2018-08-29,29,0.0,4209.377695846876,3000.0,1.4031258986156254
P1,TEAM,2018-08-30,89.019997,90.309998,88.66999799999999,89.290001,89.290001,1350900,2018-08-30,30,0.0,4200.909069751159,3000.0,1.4003030232503864
P1,TEAM,2018-08-31,89.0,91.41999799999999,88.364998,90.010002,90.010002,1333800,2018-08-31,31,0.0,4234.78362118195,3000.0,1.4115945403939834
P1,TEAM,2018-09-04,90.199997,92.239998,89.600998,91.900002,91.900002,1563400,2018-09-04,04,0.0,4323.70419518698,3000.0,1.4412347317289933
P1,TEAM,2018-09-05,92.260002,92.260002,86.739998,87.610001,87.610001,2246600,2018-09-05,05,0.0,4121.868559524465,3000.0,1.373956186508155
P1,TEAM,2018-09-06,87.980003,88.489998,86.550003,86.68,86.68,1830500,2018-09-06,06,0.0,4078.113944315338,3000.0,1.3593713147717792
P1,TEAM,2018-09-07,86.459999,88.650002,84.461998,87.010002,87.010002,1816600,2018-09-07,07,0.0,4093.639852919998,3000.0,1.3645466176399992
P1,TEAM,2018-09-10,87.959999,88.547997,85.434998,87.959999,87.959999,1192600,2018-09-10,10,0.0,4138.335238392515,3000.0,1.3794450794641717
P1,TEAM,2018-09-11,88.089996,90.769997,87.25,90.489998,90.489998,876800,2018-09-11,11,0.0,4257.366435912171,3000.0,1.419122145304057
P1,TEAM,2018-09-12,90.129997,90.91999799999999,86.949997,89.58000200000001,89.58000200000001,1046400,2018-09-12,12,0.0,4214.553014397738,3000.0,1.404851004799246
P1,TEAM,2018-09-13,91.75,94.720001,91.33000200000001,93.41999799999999,93.41999799999999,1878800,2018-09-13,13,0.0,4395.216849581345,3000.0,1.4650722831937817
P1,TEAM,2018-09-14,93.58000200000001,95.0,92.849998,94.18,94.18,1176700,2018-09-14,14,0.0,4430.973364970218,3000.0,1.4769911216567395
P1,TEAM,2018-09-17,94.489998,94.5,90.639999,91.110001,91.110001,1411500,2018-09-17,17,0.0,4286.5362891634095,3000.0,1.4288454297211366
P1,TEAM,2018-09-18,91.07,93.220001,90.489998,92.400002,92.400002,1659000,2018-09-18,18,0.0,4347.228156563972,3000.0,1.4490760521879908
P1,TEAM,2018-09-19,92.410004,92.949997,89.57,89.93,89.93,1498200,2018-09-19,19,0.0,4231.019693265786,3000.0,1.4103398977552621
P1,TEAM,2018-09-20,90.0,91.5,89.470001,91.32,91.32,1169600,2018-09-20,20,0.0,4296.416305893824,3000.0,1.4321387686312745
P1,TEAM,2018-09-21,91.480003,91.730003,89.730003,90.690002,90.690002,1075000,2018-09-21,21,0.0,4266.77620865466,3000.0,1.42225873621822
P1,TEAM,2018-09-24,89.779999,93.160004,88.57399699999999,92.470001,92.470001,1364000,2018-09-24,24,0.0,4350.521464108828,3000.0,1.4501738213696094
P1,TEAM,2018-09-25,92.900002,94.610001,92.641998,94.279999,94.279999,930600,2018-09-25,25,0.0,4435.678110197694,3000.0,1.4785593700658979
P1,TEAM,2018-09-26,94.66999799999999,95.25,93.529999,94.360001,94.360001,1130800,2018-09-26,26,0.0,4439.442038113858,3000.0,1.4798140127046193
P1,TEAM,2018-09-27,95.120003,96.44899699999999,94.800003,95.889999,95.889999,1109500,2018-09-27,27,0.0,4511.425265831608,3000.0,1.5038084219438694
P1,TEAM,2018-09-28,95.779999,97.059998,95.029999,96.139999,96.139999,1866100,2018-09-28,28,0.0,4523.187246520104,3000.0,1.507729082173368
P1,TEAM,2018-10-01,97.18,98.212997,94.845001,95.720001,95.720001,1418700,2018-10-01,01,10.447137375186614,5503.427213059276,4000.0,1.375856803264819
P1,TEAM,2018-10-02,94.68,95.870003,93.559998,93.599998,93.599998,2521900,2018-10-02,02,0.0,5381.537513100254,4000.0,1.3453843782750634
P1,TEAM,2018-10-03,94.0,94.589996,91.760002,92.900002,92.900002,1929500,2018-10-03,03,0.0,5341.291200990076,4000.0,1.3353228002475188
P1,TEAM,2018-10-04,90.220001,90.83000200000001,85.41999799999999,85.66999799999999,85.66999799999999,3062200,2018-10-04,04,0.0,4925.601686275931,4000.0,1.2314004215689827
P1,TEAM,2018-10-05,86.099998,87.258003,84.050003,85.360001,85.360001,1707100,2018-10-05,05,0.0,4907.778390121068,4000.0,1.2269445975302669
P1,TEAM,2018-10-08,84.349998,84.711998,79.769997,81.089996,81.089996,3316200,2018-10-08,08,0.0,4662.274195894209,4000.0,1.165568548973552
P1,TEAM,2018-10-09,80.68,83.849998,80.512001,81.290001,81.290001,1699800,2018-10-09,09,0.0,4673.773495395344,4000.0,1.168443373848836
